slevel,grad,Di,MAPKpp,MAPKpp[0],MAPKpp[1],MI,Scyto[0],Scyto[1],Smem[0],Smem[1],Stot,StotNative,StotNone,StotOE,StotOpt,Sves[0],Sves[1],dX,dtzero,gdm,l,maxdose,numiter,p2,p3a,p3b,p3c,p3d,p3e,p4a,p4b,p4n,p5,tp
StotOpt,0.128205128205,0.0001,0.321064131197,0.00292068715571,0.00292103916723,3.23022329834,3.27338951615,3.27338854031,0.0182725460238,0.0182755664596,3.3,1.5,0.0,42.0,3.3,0.00833503563141,0.00833879543142,0.0001,1.00751734611e-10,1.08974358974e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotOpt,0.153846153846,0.0001,0.342199213599,0.00311290082894,0.0031133759785,3.63349666645,3.26692698624,3.26692572746,0.0218301113449,0.0218337137981,3.3,1.5,0.0,42.0,3.3,0.0112391819388,0.0112442792234,0.0001,1.25129981394e-10,1.30769230769e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotOpt,0.179487179487,0.0001,0.36451640701,0.0033158681225,0.00331646754839,3.92901003633,3.26030184648,3.26030029642,0.025355160542,0.0253593378257,3.3,1.5,0.0,42.0,3.3,0.0143384464712,0.0143449122639,0.0001,1.5121387623e-10,1.52564102564e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotOpt,0.205128205128,0.0001,0.387470307895,0.00352462973493,0.00352534962138,4.12876048267,3.25358084379,3.25357898321,0.0288483361957,0.0288530810034,3.3,1.5,0.0,42.0,3.3,0.0175654668381,0.0175732889624,0.0001,1.74583489505e-10,1.74358974359e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotOpt,0.230769230769,0.0001,0.410635514716,0.00373531658792,0.00373615114194,4.25458913964,3.24681583022,3.24681366318,0.03231042703,0.0323157325832,3.3,1.5,0.0,42.0,3.3,0.0208676024355,0.0208767445576,0.0001,2.06057861399e-10,1.96153846154e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotOpt,0.25641025641,0.0001,0.43369035703,0.00394500299849,0.00394594503493,4.32228484065,3.24004599221,3.24004353894,0.0357422911464,0.0357481510007,3.3,1.5,0.0,42.0,3.3,0.0242048082819,0.0242152184257,0.0001,2.24207987592e-10,2.17948717949e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotOpt,0.282051282051,0.0001,0.456398385198,0.00415153881111,0.00415257928088,4.33992740398,3.23330026787,3.23329751747,0.0391448050805,0.0391512126076,3.3,1.5,0.0,42.0,3.3,0.0275472914014,0.0275589055709,0.0001,2.48986765546e-10,2.39743589744e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotOpt,0.307692307692,0.0001,0.47859069081,0.00435338693356,0.00435451770218,4.32352707441,3.22659951387,3.2265964948,0.0425188315774,0.0425257809916,3.3,1.5,0.0,42.0,3.3,0.030873311942,0.0308860668186,0.0001,2.70368467441e-10,2.61538461538e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotOpt,0.333333333333,0.0001,0.500150780956,0.00454948844515,0.00455069964393,4.27481923919,3.21995845312,3.21995514383,0.0458652028021,0.0458726875357,3.3,1.5,0.0,42.0,3.3,0.0341673445074,0.0341811682036,0.0001,2.94334316503e-10,2.83333333333e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotOpt,0.358974358974,0.0001,0.521002174795,0.00473914634791,0.00474043054368,4.20870881612,3.21338707999,3.21338352144,0.0491847091609,0.0491927240797,3.3,1.5,0.0,42.0,3.3,0.0374185667557,0.037433398573,0.0001,3.17275155384e-10,3.05128205128e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
