Input,lbl,slevel,MAPKpp,MI,p4a,p4b,p4m,p4n
0.2524489795918367,flat,StotNative,0.36752993938964695,1.0815049382582793,0.0,6.5,-47.5,495
0.2726530612244898,flat,StotNative,0.38122481792607427,1.1119113472150381,0.0,6.5,-47.5,495
0.29285714285714287,flat,StotNative,0.39513441500981306,1.1366015560084664,0.0,6.5,-47.5,495
0.3130612244897959,flat,StotNative,0.4091784130684479,1.1556616572508718,0.0,6.5,-47.5,495
0.333265306122449,flat,StotNative,0.4232857918857742,1.169291415075186,0.0,6.5,-47.5,495
0.35346938775510206,flat,StotNative,0.437394383330202,1.178945869672582,0.0,6.5,-47.5,495
0.3736734693877551,flat,StotNative,0.45145027502201035,1.1838254294414898,0.0,6.5,-47.5,495
0.39387755102040817,flat,StotNative,0.46540716054674613,1.1846462384586498,0.0,6.5,-47.5,495
0.4140816326530612,flat,StotNative,0.47922565504064274,1.1844655129383164,0.0,6.5,-47.5,495
0.4342857142857143,flat,StotNative,0.49287260328333055,1.178413294615202,0.0,6.5,-47.5,495
0.45448979591836736,flat,StotNative,0.5063204154858401,1.1717165216444831,0.0,6.5,-47.5,495
0.4746938775510204,flat,StotNative,0.5195464331844435,1.1640727824989672,0.0,6.5,-47.5,495
0.49489795918367346,flat,StotNative,0.5325323425373042,1.151565936393838,0.0,6.5,-47.5,495
0.5151020408163265,flat,StotNative,0.5452636325192726,1.1387321698923176,0.0,6.5,-47.5,495
0.5353061224489796,flat,StotNative,0.5577290967527211,1.1254632595509229,0.0,6.5,-47.5,495
0.5555102040816327,flat,StotNative,0.5699204189463519,1.110564018551471,0.0,6.5,-47.5,495
0.5757142857142857,flat,StotNative,0.5818317287495417,1.0963424766794312,0.0,6.5,-47.5,495
0.5959183673469388,flat,StotNative,0.5934592937014027,1.0780877135861349,0.0,6.5,-47.5,495
0.6161224489795918,flat,StotNative,0.6048011920895792,1.0608823604920967,0.0,6.5,-47.5,495
0.6363265306122449,flat,StotNative,0.6158570422658983,1.0432181956349666,0.0,6.5,-47.5,495
0.656530612244898,flat,StotNative,0.6266277615353278,1.0253957207011872,0.0,6.5,-47.5,495
0.676734693877551,flat,StotNative,0.6371153607196797,1.007311372322706,0.0,6.5,-47.5,495
0.6969387755102041,flat,StotNative,0.6473227604474295,0.9910074159922712,0.0,6.5,-47.5,495
0.7171428571428571,flat,StotNative,0.6572536348716305,0.9715979566349203,0.0,6.5,-47.5,495
0.7373469387755102,flat,StotNative,0.6669122733751506,0.9519626328901232,0.0,6.5,-47.5,495
0.7575510204081632,flat,StotNative,0.6763034640148743,0.9354302943864254,0.0,6.5,-47.5,495
0.7777551020408163,flat,StotNative,0.6854323910765057,0.9163493854747069,0.0,6.5,-47.5,495
0.7979591836734694,flat,StotNative,0.6943045677584366,0.898325851599169,0.0,6.5,-47.5,495
0.8181632653061224,flat,StotNative,0.7029256645452513,0.8796881335074821,0.0,6.5,-47.5,495
0.8383673469387755,flat,StotNative,0.7113016360359011,0.864299046650118,0.0,6.5,-47.5,495
0.8585714285714285,flat,StotNative,0.7194384769296973,0.8466290740928746,0.0,6.5,-47.5,495
0.8787755102040816,flat,StotNative,0.7273422699635491,0.8298051267371195,0.0,6.5,-47.5,495
0.8989795918367347,flat,StotNative,0.7350191275680034,0.8125643187850775,0.0,6.5,-47.5,495
0.9191836734693878,flat,StotNative,0.7424751593558371,0.794497462290763,0.0,6.5,-47.5,495
0.9393877551020408,flat,StotNative,0.7497164434564734,0.7791717343664908,0.0,6.5,-47.5,495
0.9595918367346938,flat,StotNative,0.7567490040022705,0.7641190388844619,0.0,6.5,-47.5,495
0.9797959183673469,flat,StotNative,0.7635787922863617,0.7478158177135092,0.0,6.5,-47.5,495
1.0,flat,StotNative,0.7702116701946621,0.7331061606192087,0.0,6.5,-47.5,495
0.01,flat,StotOE,0.3934806704216421,33.06374962320842,0.0,6.5,-47.5,495
0.030204081632653063,flat,StotOE,0.7526748149897599,24.945880271118323,0.0,6.5,-47.5,495
0.05040816326530612,flat,StotOE,0.914094146890481,13.218153111017218,0.0,6.5,-47.5,495
0.07061224489795918,flat,StotOE,0.9767166990831885,7.489233709609492,0.0,6.5,-47.5,495
0.09081632653061224,flat,StotOE,0.9975436905652068,4.580327662292258,0.0,6.5,-47.5,495
0.11102040816326529,flat,StotOE,0.9990810421166048,2.9482690467580777,0.0,6.5,-47.5,495
0.13122448979591836,flat,StotOE,0.9910039056164488,1.9486599951630788,0.0,6.5,-47.5,495
0.15142857142857144,flat,StotOE,0.9779211387202619,1.29568298121653,0.0,6.5,-47.5,495
0.1716326530612245,flat,StotOE,0.9622215968298046,0.8487619680860379,0.0,6.5,-47.5,495
0.19183673469387755,flat,StotOE,0.9452266284114854,0.5322537767451082,0.0,6.5,-47.5,495
0.2120408163265306,flat,StotOE,0.9277033890077591,0.3053221829815547,0.0,6.5,-47.5,495
0.23224489795918368,flat,StotOE,0.9101127965294168,0.13702751001074476,0.0,6.5,-47.5,495
0.2524489795918367,flat,StotOE,0.8927377551508695,0.014498179529877933,0.0,6.5,-47.5,495
0.2726530612244898,flat,StotOE,0.8757533982528511,-0.07810903118335269,0.0,6.5,-47.5,495
0.29285714285714287,flat,StotOE,0.8592675071312023,-0.14581725185973798,0.0,6.5,-47.5,495
0.3130612244897959,flat,StotOE,0.8433447659021642,-0.1967959870237401,0.0,6.5,-47.5,495
0.333265306122449,flat,StotOE,0.8280218489084397,-0.23361617575279647,0.0,6.5,-47.5,495
0.35346938775510206,flat,StotOE,0.813317098178239,-0.26019489972634846,0.0,6.5,-47.5,495
0.3736734693877551,flat,StotOE,0.7992368966185284,-0.27840262324663184,0.0,6.5,-47.5,495
